CAND_ID,CAND_NAME,state,lname,fname,minitial,bioguide_id,thomas_id,NodeID,Party,Party_encode
H2MI01068,"STUPAK, BART ",MI,STUPAK,BART,,,1123,1773,,
H2MI01068,"STUPAK, BART T",MI,STUPAK,BART,T,,1123,1773,,
H2OK01093,"SULLIVAN, JOHN",OK,SULLIVAN,JOHN,,,1689,1774,Republican,-1
H2TN06014,"SUNDQUIST, DONALD KENNETH",TN,SUNDQUIST,DONALD,KENNETH,,1125,1775,,
H0AS00026,"SUNIA, FOFO I F",AS,SUNIA,FOFO,I F,,1126,1776,,
H0AS00026,"SUNIA, FOFO I F CONGRESSMAN",AS,SUNIA,FOFO,I F CONGRESSMAN,,1126,1776,,
H6NH01131,"SUNUNU, JOHN E",NH,SUNUNU,JOHN,E,,1532,1777,Republican,-1
S0NH00045,"SUNUNU, JOHN H",NH,SUNUNU,JOHN,H,,1532,1777,Republican,-1
S0NH00201,"SUNUNU, JOHN E",NH,SUNUNU,JOHN,E,,1532,1777,Republican,-1
H0OH18127,"SUTTON, LINDSEY DEAN",OH,SUTTON,LINDSEY,DEAN,,1870,1778,Democrat,1
H4OH04012,"SUTTON, WILLIAM O",OH,SUTTON,WILLIAM,O,,1870,1778,Democrat,1
H6OH13133,"SUTTON, BETTY S",OH,SUTTON,BETTY,S,,1870,1778,Democrat,1
H6OH13133,"SUTTON, BETTY S MS.",OH,SUTTON,BETTY,S MS.,,1870,1778,Democrat,1
H6OH13133,"SUTTON, BETTY S. MS.",OH,SUTTON,BETTY,S. MS.,,1870,1778,Democrat,1
H4TX14020,"SWEENEY, DAVID MCCANN ""MAC""",TX,SWEENEY,DAVID,"MCCANN ""MAC""",,1127,1779,Republican,-1
H4TX14020,"SWEENEY, DAVID MCCANN (MAC)",TX,SWEENEY,DAVID,MCCANN (MAC),,1127,1779,Republican,-1
H4TX14020,"SWEENEY, MAC",TX,SWEENEY,MAC,,,1127,1779,Republican,-1
H8NY22045,"SWEENEY, JOHN E",NY,SWEENEY,JOHN,E,,1591,1780,Republican,-1
H8NY22045,"SWEENEY, JOHN E.",NY,SWEENEY,JOHN,E.,,1591,1780,Republican,-1
S6NH00075,"SWETT, DICK",NH,SWETT,DICK,,,1128,1781,Democrat,1
